parcela_id,municipio,campania,superficie_ha,cultivo,regimen,textura_suelo,materia_organica_pct,ph,lluvia_mm,dosis_n_kg_ha,semana_siembra,tratamiento_fitosanitario,incidencia_plaga,rendimiento_kg_ha,contacto_socio
PAR-220,Ejea de los Caballeros,2025,17.5,cebada,secano,franca,1.75,7.9,292,87,45,no,no,3176,socio42@example.org
PAR-221,Luna,2025,7.3,trigo,regadío,arenosa,2.85,7.7,446,149,45,no,no,6281,socio22@example.org
PAR-222,Luna,2025,16.0,trigo,secano,franca,1.63,7.3,464,199,45,no,no,4820,socio15@example.org
PAR-223,Ejea de los Caballeros,2025,6.8,trigo,regadío,arcillosa,,8.3,239,128,46,no,no,5815,socio43@example.org
PAR-224,Ejea de los Caballeros,2025,13.6,cebada,regadío,franca,2.0,7.8,330,50,43,no,no,6728,socio53@example.org
PAR-225,Tauste,2025,6.6,maíz,regadío,franca,1.63,8.3,280,242,15,no,sí,10909,socio12@example.org
PAR-226,Tauste,2025,9.5,maíz,regadío,franca,2.03,8.2,365,236,18,sí,sí,13707,socio24@example.org
PAR-227,Luna,2025,5.3,trigo,secano,franca,1.92,7.9,439,124,47,no,no,4287,socio10@example.org
PAR-228,Castejón de Valdejasa,2025,7.7,girasol,regadío,arcillosa,1.05,8.1,381,73,17,sí,sí,2442,socio05@example.org
PAR-229,Biota,2025,10.9,maíz,regadío,arcillosa,1.42,8.2,372,223,15,sí,sí,10243,socio25@example.org
PAR-230,Castejón de Valdejasa,2025,29.3,cebada,secano,franca,2.18,8.2,358,93,44,sí,no,3152,socio59@example.org
PAR-231,Tauste,2025,21.9,trigo,regadío,arenosa,0.76,7.3,293,101,48,sí,sí,3633,socio40@example.org
PAR-232,Castejón de Valdejasa,2025,19.4,trigo,secano,arenosa,1.55,7.9,440,73,47,no,no,2898,socio57@example.org
PAR-233,Tauste,2025,3.8,cebada,regadío,arcillosa,1.39,8.0,303,100,45,no,no,5067,socio58@example.org
PAR-234,Ejea de los Caballeros,2025,19.3,cebada,secano,arenosa,0.97,7.3,377,94,44,no,no,2790,socio33@example.org
PAR-235,Tauste,2025,10.1,trigo,regadío,arenosa,1.52,7.9,312,142,48,no,no,4197,socio11@example.org
PAR-236,Ejea de los Caballeros,2025,10.6,girasol,regadío,arenosa,2.87,8.0,298,29,16,sí,sí,2723,socio28@example.org
PAR-237,Erla,2025,28.9,trigo,secano,franca,1.31,8.7,504,95,44,no,sí,3356,socio47@example.org
PAR-238,Sádaba,2025,7.5,trigo,secano,franca,0.84,8.3,431,140,44,no,no,2872,socio47@example.org
PAR-239,Tauste,2025,23.7,trigo,secano,franca,2.16,7.7,316,142,46,no,no,3838,socio57@example.org
PAR-240,Sádaba,2025,3.6,girasol,regadío,arenosa,2.33,7.8,415,63,18,sí,sí,3163,socio19@example.org
PAR-241,Castejón de Valdejasa,2025,12.6,cebada,secano,franca,1.88,8.2,316,97,44,no,no,3668,socio26@example.org
PAR-242,Ejea de los Caballeros,2025,4.1,trigo,secano,franca,0.6,7.8,327,77,48,no,no,3605,socio52@example.org
PAR-243,Tauste,2025,17.6,cebada,regadío,arenosa,2.37,7.9,276,98,46,no,no,6501,socio22@example.org
PAR-244,Ejea de los Caballeros,2025,5.3,cebada,regadío,arcillosa,2.06,8.6,356,111,46,no,no,6298,socio38@example.org
PAR-245,Sádaba,2025,2.2,trigo,secano,franca,1.21,8.4,384,119,48,sí,no,4048,socio28@example.org
PAR-246,Ejea de los Caballeros,2025,11.4,cebada,secano,franca,1.15,8.0,329,123,46,no,no,3052,socio08@example.org
PAR-247,Ejea de los Caballeros,2025,9.1,cebada,secano,arcillosa,1.48,8.1,404,140,43,sí,sí,2798,socio38@example.org
PAR-248,Luna,2025,3.1,maíz,regadío,franca,1.79,8.1,503,206,17,sí,sí,12849,socio33@example.org
PAR-249,Tauste,2025,11.6,trigo,secano,arcillosa,1.39,8.0,214,144,45,no,no,2845,socio50@example.org
PAR-250,Tauste,2025,19.0,girasol,regadío,arenosa,,8.3,271,103,12,sí,sí,2503,socio21@example.org
PAR-251,Pradilla de Ebro,2025,11.3,cebada,regadío,franca,0.75,7.7,321,71,40,sí,sí,4813,socio11@example.org
PAR-252,Tauste,2025,15.8,cebada,regadío,franca,1.13,8.3,306,123,46,no,no,5899,socio13@example.org
PAR-253,Tauste,2025,5.3,maíz,regadío,arcillosa,1.4,8.3,270,246,19,sí,sí,11403,socio27@example.org
PAR-254,Ejea de los Caballeros,2025,11.3,trigo,regadío,arenosa,2.27,8.0,377,76,47,sí,sí,5698,socio58@example.org
PAR-255,Ejea de los Caballeros,2025,8.6,girasol,secano,franca,1.97,8.5,331,40,14,sí,sí,1228,socio11@example.org
PAR-256,Ejea de los Caballeros,2025,21.7,cebada,secano,arcillosa,0.6,8.4,314,117,44,no,no,2599,socio24@example.org
PAR-257,Tauste,2025,17.6,trigo,secano,arcillosa,2.39,8.5,314,133,45,no,no,2913,socio25@example.org
PAR-258,Sádaba,2025,4.2,cebada,secano,franca,1.58,7.7,407,148,49,sí,sí,2831,socio31@example.org
PAR-259,Luna,2025,8.8,trigo,secano,franca,1.9,7.9,434,69,47,no,no,3903,socio07@example.org
PAR-260,Ejea de los Caballeros,2025,9.4,cebada,secano,franca,0.93,8.0,276,97,46,no,no,2921,socio12@example.org
PAR-041,Erla,2025,20.1,cebada,regadío,franca,1.89,7.7,337,103,46,sí,no,7554,socio50@example.org
